countryOrigin,Year,StudCount
Austria,2000,54
Belgium,2000,63
Bulgaria,2000,0
Canada,2000,133
Cyprus,2000,0
CzechRepublic,2000,0
Germany,2000,474
Denmark,2000,24
Estonia,2000,0
Spain,2000,221
Finland,2000,84
France,2000,555
UnitedKingdom,2000,1809
Greece,2000,33
Croatia,2000,0
Hungary,2000,0
Italy,2000,127
Lithuania,2000,0
Luxembourg,2000,17
Latvia,2000,0
Malta,2000,0
Netherlands,2000,57
Poland,2000,0
Portugal,2000,23
Romania,2000,0
Sweden,2000,65
Slovenia,2000,0
Slovakia,2000,0
UnitedStates,2000,1580
GreatBritain,2000,0
NorthernIreland,2000,0
Africa,2000,304
Asia,2000,1268
Australasia,2000,70
America,2000,44
OtherAmerica,2000,0
OtherEurope,2000,267
Austria,2001,53
Belgium,2001,74
Bulgaria,2001,0
Canada,2001,178
Cyprus,2001,0
CzechRepublic,2001,0
Germany,2001,497
Denmark,2001,26
Estonia,2001,0
Spain,2001,221
Finland,2001,95
France,2001,552
UnitedKingdom,2001,1939
Greece,2001,43
Croatia,2001,0
Hungary,2001,0
Italy,2001,135
Lithuania,2001,0
Luxembourg,2001,22
Latvia,2001,0
Malta,2001,0
Netherlands,2001,55
Poland,2001,0
Portugal,2001,54
Romania,2001,0
Sweden,2001,81
Slovenia,2001,0
Slovakia,2001,0
UnitedStates,2001,1825
GreatBritain,2001,0
NorthernIreland,2001,0
Africa,2001,415
Asia,2001,1399
Australasia,2001,81
America,2001,62
OtherAmerica,2001,0
OtherEurope,2001,400
Austria,2002,33
Belgium,2002,70
Bulgaria,2002,0
Canada,2002,211
Cyprus,2002,0
CzechRepublic,2002,0
Germany,2002,497
Denmark,2002,21
Estonia,2002,0
Spain,2002,253
Finland,2002,89
France,2002,556
UnitedKingdom,2002,1960
Greece,2002,46
Croatia,2002,0
Hungary,2002,0
Italy,2002,143
Lithuania,2002,0
Luxembourg,2002,11
Latvia,2002,0
Malta,2002,0
Netherlands,2002,58
Poland,2002,0
Portugal,2002,9
Romania,2002,0
Sweden,2002,71
Slovenia,2002,0
Slovakia,2002,0
UnitedStates,2002,1768
GreatBritain,2002,0
NorthernIreland,2002,0
Africa,2002,498
Asia,2002,2290
Australasia,2002,72
America,2002,76
OtherAmerica,2002,0
OtherEurope,2002,474
Austria,2003,26
Belgium,2003,65
Bulgaria,2003,0
Canada,2003,270
Cyprus,2003,0
CzechRepublic,2003,0
Germany,2003,474
Denmark,2003,20
Estonia,2003,0
Spain,2003,241
Finland,2003,97
France,2003,499
UnitedKingdom,2003,2132
Greece,2003,49
Croatia,2003,0
Hungary,2003,0
Italy,2003,154
Lithuania,2003,0
Luxembourg,2003,8
Latvia,2003,0
Malta,2003,0
Netherlands,2003,57
Poland,2003,0
Portugal,2003,15
Romania,2003,0
Sweden,2003,73
Slovenia,2003,0
Slovakia,2003,0
UnitedStates,2003,1953
GreatBritain,2003,0
NorthernIreland,2003,0
Africa,2003,596
Asia,2003,2763
Australasia,2003,67
America,2003,82
OtherAmerica,2003,0
OtherEurope,2003,560
Austria,2004,43
Belgium,2004,74
Bulgaria,2004,0
Canada,2004,327
Cyprus,2004,0
CzechRepublic,2004,0
Germany,2004,638
Denmark,2004,18
Estonia,2004,0
Spain,2004,275
Finland,2004,97
France,2004,601
UnitedKingdom,2004,2165
Greece,2004,45
Croatia,2004,0
Hungary,2004,0
Italy,2004,146
Lithuania,2004,0
Luxembourg,2004,11
Latvia,2004,0
Malta,2004,0
Netherlands,2004,67
Poland,2004,0
Portugal,2004,24
Romania,2004,0
Sweden,2004,62
Slovenia,2004,0
Slovakia,2004,0
UnitedStates,2004,2006
GreatBritain,2004,0
NorthernIreland,2004,0
Africa,2004,589
Asia,2004,3569
Australasia,2004,63
America,2004,80
OtherAmerica,2004,0
OtherEurope,2004,633
Austria,2005,50
Belgium,2005,65
Bulgaria,2005,0
Canada,2005,359
Cyprus,2005,28
CzechRepublic,2005,30
Germany,2005,660
Denmark,2005,26
Estonia,2005,7
Spain,2005,350
Finland,2005,76
France,2005,700
UnitedKingdom,2005,2254
Greece,2005,53
Croatia,2005,0
Hungary,2005,17
Italy,2005,199
Lithuania,2005,21
Luxembourg,2005,10
Latvia,2005,18
Malta,2005,9
Netherlands,2005,80
Poland,2005,120
Portugal,2005,17
Romania,2005,0
Sweden,2005,90
Slovenia,2005,2
Slovakia,2005,12
UnitedStates,2005,2168
GreatBritain,2005,0
NorthernIreland,2005,0
Africa,2005,714
Asia,2005,4519
Australasia,2005,74
America,2005,95
OtherAmerica,2005,0
OtherEurope,2005,512
Austria,2006,59
Belgium,2006,79
Bulgaria,2006,0
Canada,2006,416
Cyprus,2006,8
CzechRepublic,2006,35
Germany,2006,715
Denmark,2006,25
Estonia,2006,14
Spain,2006,388
Finland,2006,77
France,2006,801
UnitedKingdom,2006,2119
Greece,2006,52
Croatia,2006,0
Hungary,2006,15
Italy,2006,226
Lithuania,2006,32
Luxembourg,2006,12
Latvia,2006,23
Malta,2006,3
Netherlands,2006,79
Poland,2006,174
Portugal,2006,18
Romania,2006,0
Sweden,2006,80
Slovenia,2006,7
Slovakia,2006,15
UnitedStates,2006,2051
GreatBritain,2006,0
NorthernIreland,2006,0
Africa,2006,723
Asia,2006,4318
Australasia,2006,69
America,2006,99
OtherAmerica,2006,0
OtherEurope,2006,512
Austria,2007,68
Belgium,2007,86
Bulgaria,2007,0
Canada,2007,491
Cyprus,2007,19
CzechRepublic,2007,36
Germany,2007,773
Denmark,2007,24
Estonia,2007,20
Spain,2007,350
Finland,2007,76
France,2007,855
UnitedKingdom,2007,2282
Greece,2007,48
Croatia,2007,0
Hungary,2007,27
Italy,2007,278
Lithuania,2007,51
Luxembourg,2007,14
Latvia,2007,29
Malta,2007,5
Netherlands,2007,91
Poland,2007,253
Portugal,2007,48
Romania,2007,0
Sweden,2007,104
Slovenia,2007,6
Slovakia,2007,19
UnitedStates,2007,2500
GreatBritain,2007,0
NorthernIreland,2007,0
Africa,2007,774
Asia,2007,4687
Australasia,2007,70
America,2007,128
OtherAmerica,2007,0
OtherEurope,2007,521
Austria,2008,42
Belgium,2008,58
Bulgaria,2008,25
Canada,2008,575
Cyprus,2008,14
CzechRepublic,2008,29
Germany,2008,467
Denmark,2008,21
Estonia,2008,13
Spain,2008,187
Finland,2008,41
France,2008,450
UnitedKingdom,2008,2270
Greece,2008,52
Croatia,2008,0
Hungary,2008,21
Italy,2008,233
Lithuania,2008,40
Luxembourg,2008,10
Latvia,2008,18
Malta,2008,6
Netherlands,2008,62
Poland,2008,209
Portugal,2008,33
Romania,2008,72
Sweden,2008,71
Slovenia,2008,8
Slovakia,2008,16
UnitedStates,2008,2802
GreatBritain,2008,0
NorthernIreland,2008,0
Africa,2008,582
Asia,2008,3466
Australasia,2008,95
America,2008,116
OtherAmerica,2008,0
OtherEurope,2008,295
Austria,2009,49
Belgium,2009,57
Bulgaria,2009,34
Canada,2009,419
Cyprus,2009,11
CzechRepublic,2009,41
Germany,2009,537
Denmark,2009,34
Estonia,2009,13
Spain,2009,193
Finland,2009,48
France,2009,521
UnitedKingdom,2009,2150
Greece,2009,65
Croatia,2009,0
Hungary,2009,36
Italy,2009,290
Lithuania,2009,51
Luxembourg,2009,18
Latvia,2009,19
Malta,2009,14
Netherlands,2009,70
Poland,2009,248
Portugal,2009,33
Romania,2009,109
Sweden,2009,52
Slovenia,2009,8
Slovakia,2009,30
UnitedStates,2009,2538
GreatBritain,2009,0
NorthernIreland,2009,0
Africa,2009,675
Asia,2009,3094
Australasia,2009,75
America,2009,110
OtherAmerica,2009,0
OtherEurope,2009,279
Austria,2010,37
Belgium,2010,73
Bulgaria,2010,28
Canada,2010,612
Cyprus,2010,12
CzechRepublic,2010,28
Germany,2010,531
Denmark,2010,33
Estonia,2010,11
Spain,2010,207
Finland,2010,40
France,2010,466
UnitedKingdom,2010,2313
Greece,2010,37
Croatia,2010,0
Hungary,2010,42
Italy,2010,263
Lithuania,2010,54
Luxembourg,2010,16
Latvia,2010,33
Malta,2010,10
Netherlands,2010,75
Poland,2010,251
Portugal,2010,44
Romania,2010,97
Sweden,2010,50
Slovenia,2010,6
Slovakia,2010,29
UnitedStates,2010,2718
GreatBritain,2010,0
NorthernIreland,2010,0
Africa,2010,711
Asia,2010,3599
Australasia,2010,106
America,2010,157
OtherAmerica,2010,0
OtherEurope,2010,280
Austria,2011,43
Belgium,2011,79
Bulgaria,2011,33
Canada,2011,666
Cyprus,2011,15
CzechRepublic,2011,29
Germany,2011,594
Denmark,2011,38
Estonia,2011,8
Spain,2011,240
Finland,2011,56
France,2011,590
UnitedKingdom,2011,2146
Greece,2011,59
Croatia,2011,0
Hungary,2011,35
Italy,2011,318
Lithuania,2011,69
Luxembourg,2011,17
Latvia,2011,37
Malta,2011,23
Netherlands,2011,78
Poland,2011,252
Portugal,2011,42
Romania,2011,92
Sweden,2011,59
Slovenia,2011,3
Slovakia,2011,28
UnitedStates,2011,2619
GreatBritain,2011,0
NorthernIreland,2011,0
Africa,2011,667
Asia,2011,3782
Australasia,2011,72
America,2011,116
OtherAmerica,2011,0
OtherEurope,2011,393
Austria,2012,37
Belgium,2012,74
Bulgaria,2012,12
Canada,2012,714
Cyprus,2012,13
CzechRepublic,2012,16
Germany,2012,452
Denmark,2012,23
Estonia,2012,8
Spain,2012,173
Finland,2012,37
France,2012,452
UnitedKingdom,2012,1981
Greece,2012,58
Croatia,2012,0
Hungary,2012,25
Italy,2012,232
Lithuania,2012,47
Luxembourg,2012,21
Latvia,2012,21
Malta,2012,18
Netherlands,2012,61
Poland,2012,129
Portugal,2012,32
Romania,2012,60
Sweden,2012,34
Slovenia,2012,8
Slovakia,2012,18
UnitedStates,2012,2268
GreatBritain,2012,0
NorthernIreland,2012,0
Africa,2012,431
Asia,2012,3608
Australasia,2012,61
America,2012,113
OtherAmerica,2012,0
OtherEurope,2012,189
Austria,2013,48
Belgium,2013,87
Bulgaria,2013,20
Canada,2013,961
Cyprus,2013,10
CzechRepublic,2013,16
Germany,2013,487
Denmark,2013,16
Estonia,2013,13
Spain,2013,155
Finland,2013,25
France,2013,496
UnitedKingdom,2013,1999
Greece,2013,71
Croatia,2013,0
Hungary,2013,22
Italy,2013,216
Lithuania,2013,48
Luxembourg,2013,18
Latvia,2013,23
Malta,2013,11
Netherlands,2013,66
Poland,2013,137
Portugal,2013,41
Romania,2013,40
Sweden,2013,26
Slovenia,2013,8
Slovakia,2013,18
UnitedStates,2013,2381
GreatBritain,2013,0
NorthernIreland,2013,0
Africa,2013,554
Asia,2013,5363
Australasia,2013,81
America,2013,172
OtherAmerica,2013,0
OtherEurope,2013,238
Austria,2014,52
Belgium,2014,118
Bulgaria,2014,24
Canada,2014,1070
Cyprus,2014,19
CzechRepublic,2014,17
Germany,2014,543
Denmark,2014,19
Estonia,2014,13
Spain,2014,152
Finland,2014,26
France,2014,459
UnitedKingdom,2014,2146
Greece,2014,70
Croatia,2014,0
Hungary,2014,30
Italy,2014,259
Lithuania,2014,69
Luxembourg,2014,37
Latvia,2014,43
Malta,2014,9
Netherlands,2014,75
Poland,2014,200
Portugal,2014,44
Romania,2014,46
Sweden,2014,26
Slovenia,2014,12
Slovakia,2014,20
UnitedStates,2014,3122
GreatBritain,2014,0
NorthernIreland,2014,0
Africa,2014,594
Asia,2014,6539
Australasia,2014,110
America,2014,1019
OtherAmerica,2014,0
OtherEurope,2014,273
Austria,2015,51
Belgium,2015,134
Bulgaria,2015,24
Canada,2015,1095
Cyprus,2015,24
CzechRepublic,2015,18
Germany,2015,676
Denmark,2015,18
Estonia,2015,15
Spain,2015,264
Finland,2015,34
France,2015,785
UnitedKingdom,2015,2262
Greece,2015,72
Croatia,2015,0
Hungary,2015,35
Italy,2015,308
Lithuania,2015,80
Luxembourg,2015,46
Latvia,2015,41
Malta,2015,20
Netherlands,2015,87
Poland,2015,216
Portugal,2015,49
Romania,2015,81
Sweden,2015,68
Slovenia,2015,12
Slovakia,2015,26
UnitedStates,2015,3447
GreatBritain,2015,0
NorthernIreland,2015,0
Africa,2015,1042
Asia,2015,8728
Australasia,2015,102
America,2015,1610
OtherAmerica,2015,0
OtherEurope,2015,517
Austria,2016,60
Belgium,2016,126
Bulgaria,2016,18
Canada,2016,1279
Cyprus,2016,32
CzechRepublic,2016,17
Germany,2016,634
Denmark,2016,17
Estonia,2016,10
Spain,2016,280
Finland,2016,42
France,2016,829
UnitedKingdom,2016,2421
Greece,2016,63
Croatia,2016,20
Hungary,2016,49
Italy,2016,367
Lithuania,2016,72
Luxembourg,2016,60
Latvia,2016,34
Malta,2016,9
Netherlands,2016,106
Poland,2016,205
Portugal,2016,59
Romania,2016,73
Sweden,2016,51
Slovenia,2016,18
Slovakia,2016,22
UnitedStates,2016,4288
GreatBritain,2016,0
NorthernIreland,2016,0
Africa,2016,780
Asia,2016,8332
Australasia,2016,116
America,2016,1339
OtherAmerica,2016,0
OtherEurope,2016,368
